timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,diffusivity,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,density,error
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,1e-08,1.89279846670733e-17,3.78559693341466e-13,1e-12,9.999999999999994e-13,3.5599942500333873e-13,0.003998637466458671,105.62766022878843,112.32145856474824,10000000000000.0,
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,1e-07,1.8927984667073331e-16,3.785596933414666e-12,1e-12,9.99999999999998e-13,3.5599942500333664e-12,0.003998637466458671,105.62766022878824,112.3214585647489,10000000000000.0,
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,1e-06,1.8927984667073117e-15,3.785596933414624e-11,1e-12,9.99999999999999e-13,3.559994250033333e-11,0.003998637466458671,105.62766022878944,112.32145856474996,10000000000000.0,
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,1e-05,1.8927984667073348e-14,3.78559693341467e-10,1e-12,1.000000000000001e-12,3.5599942500332897e-10,0.003998637466458671,105.62766022878814,112.32145856475132,10000000000000.0,
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,0.0001,1.892798466707325e-13,3.78559693341465e-09,1e-12,9.99999999999999e-13,3.559994250033357e-09,0.003998637466458671,105.6276602287887,112.32145856474921,10000000000000.0,
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,0.001,1.8927984667072947e-12,3.78559693341459e-08,1e-12,9.99999999999998e-13,3.559994250033377e-08,0.003998637466458671,105.62766022879038,112.32145856474858,10000000000000.0,
2025-12-02T02:31:57.197049,45,5e-05,120,164,156,72,164,164,0.01,1.8927984667073267e-11,3.785596933414653e-07,1e-12,1.0000000000000012e-12,3.5599942500333693e-07,0.003998637466458671,105.62766022878863,112.32145856474882,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,1e-08,4.6288519554006096e-17,9.25770391080122e-13,1e-12,1.0000000000000032e-12,9.017871448891808e-13,0.008822788382560714,95.30212315676809,97.83670606265886,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,1e-07,4.628851955400613e-16,9.257703910801226e-12,1e-12,9.999999999999994e-13,9.017871448891834e-12,0.008822788382560714,95.30212315676802,97.83670606265858,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,1e-06,4.628851955400602e-15,9.257703910801204e-11,1e-12,1.0000000000000002e-12,9.017871448891818e-11,0.008822788382560714,95.30212315676823,97.83670606265873,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,1e-05,4.628851955400596e-14,9.257703910801193e-10,1e-12,1.0000000000000026e-12,9.017871448891783e-10,0.008822788382560714,95.30212315676836,97.83670606265913,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,0.0001,4.628851955400606e-13,9.257703910801211e-09,1e-12,1.0000000000000026e-12,9.017871448891801e-09,0.008822788382560714,95.30212315676818,97.83670606265893,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,0.001,4.628851955400597e-12,9.257703910801194e-08,1e-12,1.0000000000000032e-12,9.017871448891787e-08,0.008822788382560714,95.30212315676836,97.83670606265909,10000000000000.0,
2025-12-02T02:31:57.300712,46,5e-05,121,166,156,72,166,166,0.01,4.628851955400594e-11,9.257703910801189e-07,1e-12,9.999999999999992e-13,9.017871448891832e-07,0.008822788382560714,95.3021231567684,97.8367060626586,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,1e-08,2.023532172643098e-17,4.047064345286196e-13,1e-12,9.999999999999976e-13,3.2456549653968315e-13,0.008337561619045659,206.01504961878862,256.8837941166141,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,1e-07,2.0235321726432363e-16,4.047064345286473e-12,1e-12,1.0000000000000014e-12,3.2456549653966783e-12,0.008337561619045659,206.0150496187745,256.88379411662623,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,1e-06,2.023532172642889e-15,4.047064345285778e-11,1e-12,9.999999999999972e-13,3.245654965396488e-11,0.008337561619045659,206.01504961880988,256.8837941166413,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,1e-05,2.023532172642979e-14,4.0470643452859585e-10,1e-12,9.999999999999996e-13,3.2456549653970524e-10,0.008337561619045659,206.0150496188007,256.8837941165966,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,0.0001,2.023532172643372e-13,4.047064345286744e-09,1e-12,9.99999999999999e-13,3.245654965397268e-09,0.008337561619045659,206.0150496187607,256.88379411657957,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,0.001,2.0235321726432607e-12,4.047064345286521e-08,1e-12,9.999999999999978e-13,3.245654965397028e-08,0.008337561619045659,206.01504961877205,256.88379411659855,10000000000000.0,
2025-12-02T02:31:57.409857,47,5e-05,118,164,148,68,164,164,0.01,2.0235321726429878e-11,4.0470643452859754e-07,1e-12,9.999999999999988e-13,3.24565496539689e-07,0.008337561619045659,206.01504961879985,256.88379411660947,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,1e-08,2.3791068919083423e-17,4.758213783816685e-13,1e-12,1.0000000000000006e-12,4.2595359570028446e-13,0.0043511006751566885,91.44399291085571,102.14964069039746,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,1e-07,2.37910689190837e-16,4.75821378381674e-12,1e-12,1.0000000000000052e-12,4.2595359570028686e-12,0.0043511006751566885,91.44399291085465,102.14964069039688,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,1e-06,2.3791068919083483e-15,4.7582137838166965e-11,1e-12,9.999999999999978e-13,4.2595359570028174e-11,0.0043511006751566885,91.44399291085548,102.14964069039812,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,1e-05,2.379106891908373e-14,4.758213783816747e-10,1e-12,1.0000000000000026e-12,4.259535957002843e-10,0.0043511006751566885,91.44399291085453,102.1496406903975,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,0.0001,2.379106891908406e-13,4.7582137838168125e-09,1e-12,9.999999999999998e-13,4.259535957002936e-09,0.0043511006751566885,91.44399291085325,102.14964069039527,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,0.001,2.379106891908322e-12,4.758213783816644e-08,1e-12,9.999999999999941e-13,4.2595359570029e-08,0.0043511006751566885,91.44399291085651,102.14964069039614,10000000000000.0,
2025-12-02T02:31:57.525910,48,5e-05,124,170,161,74,170,170,0.01,2.3791068919084168e-11,4.7582137838168337e-07,1e-12,9.999999999999998e-13,4.259535957002965e-07,0.0043511006751566885,91.44399291085286,102.14964069039458,10000000000000.0,
2025-12-02T02:31:57.639173,49,5e-05,126,174,160,74,174,174,1e-08,3.047987494670802e-17,6.095974989341604e-13,1e-12,9.999999999999909e-13,5.902232775748902e-13,0.021490789611658814,352.54064606948015,364.1128777563668,10000000000000.0,
